txn_id,created_at,merchant_id,customer_id,mcc,amount,currency,amount_usd,status,payment_method,card_brand,card_last4,country,city,risk_score,auth_code,fee_rate_percent,fixed_fee_cents,fee_total_usd,processor_cost_usd,net_revenue_usd,net_settlement_usd,settlement_batch_id
T0000011,2025-05-07 10:32:16,M00005,C002957,6012,220.0,AED,59.84,succeeded,card,Visa,8137,DE,Berlin,0.07,9XIBF6,2.37,30,1.72,0.79,0.93,58.12,SB20250507-004
T0000012,2025-05-26 09:28:50,M00023,C003927,5734,133.47,EUR,145.48,succeeded,apple_pay,Mastercard,4728,US,NYC,0.22,X45QRQ,2.91,40,4.63,1.82,2.81,140.85,SB20250526-005
T0000013,2025-05-07 07:29:10,M00083,C000992,4812,241.95,JOD,341.15,succeeded,card,Amex,4234,DE,Munich,0.0,4FV9X2,2.67,35,9.46,4.16,5.3,331.69,SB20250507-001
T0000014,2025-05-02 20:07:01,M00088,C005716,5812,18.66,CAD,13.62,succeeded,cash_app,Visa,9082,AE,Sharjah,0.0,O9JNN8,2.48,40,0.74,0.23,0.51,12.88,SB20250502-005
T0000015,2025-05-15 05:48:24,M00092,C006712,5732,123.1,CAD,89.86,succeeded,card,Mastercard,0337,US,Austin,0.27,0DI0WA,2.58,35,2.67,1.15,1.52,87.19,SB20250515-004
T0000016,2025-05-26 01:27:05,M00036,C007519,6012,289.42,AED,78.72,succeeded,apple_pay,Visa,2829,US,Austin,0.05,XO813P,2.74,40,2.56,1.01,1.55,76.16,SB20250526-005
T0000017,2025-05-03 10:05:59,M00084,C006553,5691,33.25,SAR,8.84,succeeded,cash_app,Visa,7590,US,NYC,0.24,3SKEAL,2.74,10,0.34,0.18,0.16,8.5,SB20250503-005
T0000018,2025-05-22 17:31:55,M00089,C000426,5812,37.56,USD,37.56,succeeded,card,Visa,9473,AE,Dubai,0.12,YWPRPO,2.27,40,1.25,0.52,0.73,36.31,SB20250522-005
T0000019,2025-05-23 10:34:11,M00100,C004749,5812,25.61,CAD,18.7,succeeded,card,Amex,0636,GB,Manchester,0.02,E6V26Z,2.43,40,0.85,0.29,0.56,17.85,SB20250523-004
T0000020,2025-05-09 07:29:04,M00098,C001621,5999,115.19,CAD,84.09,refunded,card,Visa,1137,AE,Dubai,0.08,YOB0BF,2.22,25,2.12,1.08,1.04,0.0,SB20250509-002
T0000021,2025-05-01 20:31:02,M00101,C004837,5812,29.17,TRY,0.88,succeeded,apple_pay,Mastercard,1973,US,Miami,0.15,HYJWMK,2.94,10,0.13,0.08,0.05,0.75,SB20250501-003
T0000022,2025-05-26 19:33:31,M00080,C000154,5411,65.6,JOD,92.5,succeeded,card,Visa,3438,NL,Amsterdam,0.08,M1OVEP,2.43,35,2.6,1.18,1.42,89.9,SB20250526-004
T0000023,2025-05-13 17:18:49,M00041,C007570,5999,54.95,CAD,40.11,succeeded,bank_transfer,Mastercard,0828,FR,Marseille,0.05,9WS91L,2.43,25,1.22,0.55,0.67,38.89,SB20250513-004
T0000024,2025-05-17 02:03:30,M00040,C006218,5732,137.11,USD,137.11,succeeded,card,Visa,8460,AE,Dubai,0.03,0GE59H,3.21,15,4.55,1.72,2.83,132.56,SB20250517-005
T0000025,2025-05-19 05:08:37,M00043,C006499,6012,850.46,EUR,927.0,succeeded,card,Mastercard,6920,TR,Ankara,0.11,Y5YURC,2.59,20,24.21,11.19,13.02,902.79,SB20250519-002
T0000026,2025-05-04 01:59:21,M00115,C004999,5691,60.36,AED,16.42,failed,card,Visa,5598,GB,London,0.11,CNHR01,1.92,30,0.62,0.27,0.35,0.0,SB20250504-003
T0000027,2025-05-22 12:04:36,M00016,C006254,7399,379.86,SAR,101.04,succeeded,card,Mastercard,8699,GB,Manchester,0.03,1VJGQZ,2.43,35,2.81,1.28,1.53,98.23,SB20250522-001
T0000028,2025-05-05 04:53:25,M00050,C005861,5691,200.0,EUR,218.0,succeeded,card,Mastercard,4045,TR,Istanbul,0.08,9EOP5L,2.23,25,5.11,2.69,2.42,212.89,SB20250505-005
T0000029,2025-05-25 05:40:14,M00025,C006959,7399,147.63,TRY,4.43,succeeded,card,Mastercard,5400,US,Seattle,0.25,9O22OK,2.73,35,0.47,0.12,0.35,3.96,SB20250525-001
T0000030,2025-05-22 19:12:33,M00027,C003833,7399,510.28,TRY,15.31,succeeded,card,Visa,1779,GB,London,0.26,54FM5U,2.89,25,0.69,0.25,0.44,14.62,SB20250522-004
T0000031,2025-05-06 02:51:29,M00066,C000309,6012,755.1,SAR,200.86,succeeded,cash_app,Visa,2555,SA,Riyadh,0.09,0T5FTX,2.65,20,5.52,2.48,3.04,195.34,SB20250506-002
T0000032,2025-05-05 14:33:36,M00066,C003849,6012,220.0,USD,220.0,succeeded,card,Mastercard,0323,SA,Jeddah,0.21,M676E0,2.65,20,6.03,2.71,3.32,213.97,SB20250505-001
T0000033,2025-05-03 02:35:11,M00058,C006468,5999,71.33,EUR,77.75,succeeded,card,Mastercard,2297,AE,Sharjah,0.32,PWW4WC,2.54,20,2.17,1.0,1.17,75.58,SB20250503-005
T0000034,2025-05-09 12:09:48,M00039,C001558,5734,142.93,JOD,201.53,succeeded,paypal,Visa,8208,GB,London,0.17,E8RZ7X,3.06,40,6.57,2.49,4.08,194.96,SB20250509-003
T0000035,2025-05-08 04:40:16,M00074,C006206,5732,54.88,TRY,1.65,succeeded,apple_pay,Mastercard,8586,FR,Lyon,0.16,PYF3HG,2.85,10,0.15,0.09,0.06,1.5,SB20250508-004
T0000036,2025-05-21 07:53:07,M00113,C004257,4812,153.06,TRY,4.59,refunded,card,Visa,7593,US,Seattle,0.31,TJAP16,2.13,20,0.3,0.13,0.17,0.0,SB20250521-003
T0000037,2025-05-16 14:19:56,M00071,C002610,7999,24.26,EUR,26.44,succeeded,card,Discover,5084,FR,Paris,0.24,AO5H7A,2.45,25,0.9,0.39,0.51,25.54,SB20250516-004
T0000038,2025-05-11 12:33:24,M00032,C001407,6012,946.26,CAD,690.77,failed,card,Mastercard,6141,AE,Dubai,0.18,7DCFBK,2.35,30,16.53,8.36,8.17,0.0,SB20250511-005
T0000039,2025-05-21 15:36:47,M00030,C001693,5812,36.25,TRY,1.09,succeeded,card,Mastercard,0172,CA,Montreal,0.05,1O203P,2.57,10,0.13,0.08,0.05,0.96,SB20250521-003
T0000040,2025-05-28 05:34:31,M00059,C004414,5734,132.09,JOD,186.25,succeeded,card,Mastercard,1331,FR,Paris,0.13,FS2A5D,2.71,15,5.2,2.3,2.9,181.05,SB20250528-003
T0000041,2025-05-12 00:08:51,M00102,C007095,7399,439.92,USD,439.92,succeeded,card,Visa,7436,GB,London,0.17,SM6MTF,2.21,10,9.82,5.35,4.47,430.1,SB20250512-003
T0000042,2025-05-07 05:59:35,M00051,C000464,7999,68.23,EUR,74.37,succeeded,crypto_onramp,mada,9979,US,LA,0.06,PS3RET,2.35,35,2.1,0.96,1.14,72.27,SB20250507-005
T0000043,2025-05-13 11:40:27,M00009,C007761,6012,220.0,AED,59.84,succeeded,card,Visa,0016,GB,Manchester,0.03,AP53HH,2.48,30,1.78,0.79,0.99,58.06,SB20250513-004
T0000044,2025-05-02 12:43:20,M00006,C000228,6012,557.66,JOD,786.3,succeeded,bank_transfer,Discover,7312,JO,Amman,0.24,CMBQX7,2.24,20,17.81,9.51,8.3,768.49,SB20250502-002
T0000045,2025-05-04 00:21:13,M00058,C002284,5999,46.65,CAD,34.05,succeeded,paypal,Visa,5361,NL,Utrecht,0.1,YVABS6,2.54,20,1.06,0.48,0.58,32.99,SB20250504-004
T0000046,2025-05-19 07:44:08,M00042,C005912,7399,167.06,USD,167.06,failed,card,Mastercard,5899,GB,Manchester,0.08,F7ING5,2.27,20,3.99,2.07,1.92,0.0,SB20250519-001
T0000047,2025-05-04 18:17:37,M00089,C000011,5812,27.2,CAD,19.86,succeeded,card,Visa,6525,US,Austin,0.21,NQR84V,2.27,40,0.85,0.31,0.54,19.01,SB20250504-001
T0000048,2025-05-18 22:04:41,M00115,C003187,5691,31.89,AED,8.67,succeeded,card,Mastercard,2513,US,SF,0.08,UUV2OX,1.92,30,0.47,0.17,0.3,8.2,SB20250518-001
T0000049,2025-05-24 00:26:06,M00091,C003251,7399,331.41,TRY,9.94,succeeded,card,Discover,0211,NL,Utrecht,0.22,PUAR5J,2.37,30,0.54,0.19,0.35,9.4,SB20250524-001
T0000050,2025-05-06 20:43:57,M00063,C003153,5999,74.87,AED,20.36,succeeded,card,Visa,6567,DE,Hamburg,0.0,JGSY87,2.91,40,0.99,0.31,0.68,19.37,SB20250506-005
T0000051,2025-05-15 16:43:47,M00089,C002557,5812,18.96,SAR,5.04,succeeded,apple_pay,Visa,0655,NL,Utrecht,0.0,OBZMIE,2.27,40,0.51,0.13,0.38,4.53,SB20250515-004
T0000052,2025-05-27 03:18:55,M00045,C004744,6012,593.91,GBP,778.02,succeeded,apple_pay,Amex,6029,SA,Jeddah,0.18,2SPPGD,2.49,20,19.57,9.41,10.16,758.45,SB20250527-001
T0000053,2025-05-16 01:25:56,M00049,C001955,5734,81.41,USD,81.41,succeeded,card,mada,9045,SA,Jeddah,0.05,SOVU3T,3.14,35,2.91,1.05,1.86,78.5,SB20250516-004
T0000054,2025-05-05 20:19:06,M00016,C004447,7399,900.0,USD,900.0,succeeded,card,Visa,2978,FR,Marseille,0.09,NKVP2O,2.43,35,22.22,10.87,11.35,877.78,SB20250505-002
T0000055,2025-05-12 11:18:30,M00077,C001854,4812,146.85,TRY,4.41,succeeded,google_pay,Visa,6767,US,LA,0.2,DJEWBZ,2.6,35,0.46,0.12,0.34,3.95,SB20250512-003
T0000056,2025-05-24 22:14:04,M00007,C002188,5734,50.66,SAR,13.48,succeeded,card,Visa,2969,US,LA,0.07,GD52VO,2.35,10,0.42,0.23,0.19,13.06,SB20250524-003
T0000057,2025-05-20 01:37:29,M00063,C000975,5999,70.22,CAD,51.26,succeeded,card,Visa,6501,GB,London,0.03,AFV9KG,2.91,40,1.89,0.69,1.2,49.37,SB20250520-004
T0000058,2025-05-16 00:58:28,M00091,C001259,7399,207.0,EUR,225.63,succeeded,card,Visa,8373,AE,Sharjah,0.14,KIQJE2,2.37,30,5.65,2.78,2.87,219.98,SB20250516-003
T0000059,2025-05-23 01:45:40,M00001,C003043,7399,900.0,AED,244.8,succeeded,card,Mastercard,7165,CA,Vancouver,0.2,2RU76S,2.19,30,5.66,3.01,2.65,239.14,SB20250523-005
T0000060,2025-05-02 09:55:26,M00106,C005957,5732,63.78,GBP,83.55,succeeded,card,Visa,6738,US,SF,0.12,OBKFEH,2.52,35,2.46,1.07,1.39,81.09,SB20250502-004
T0000061,2025-05-05 23:00:34,M00101,C004484,5812,23.35,EUR,25.45,succeeded,crypto_onramp,Visa,3262,CA,Toronto,0.22,1IDQ6X,2.94,10,0.85,0.38,0.47,24.6,SB20250505-003
T0000062,2025-05-12 17:17:47,M00006,C002391,6012,579.15,AED,157.53,succeeded,paypal,Mastercard,2665,DE,Hamburg,0.17,LZV5BP,2.24,20,3.73,1.96,1.77,153.8,SB20250512-004
T0000063,2025-05-28 08:05:28,M00077,C000597,4812,205.58,GBP,269.31,succeeded,card,Mastercard,0127,GB,London,0.13,084LMF,2.6,35,7.35,3.3,4.05,261.96,SB20250528-004
T0000064,2025-05-19 12:55:56,M00114,C004633,7999,140.0,CAD,102.2,succeeded,crypto_onramp,Mastercard,1698,CA,Vancouver,0.14,YTDOBH,2.65,35,3.06,1.3,1.76,99.14,SB20250519-004
T0000065,2025-05-19 06:26:03,M00040,C000861,5732,63.91,GBP,83.72,succeeded,card,Visa,0002,GB,London,0.14,KUDJSZ,3.21,15,2.84,1.07,1.77,80.88,SB20250519-004
T0000066,2025-05-02 08:18:58,M00060,C001847,5732,76.42,CAD,55.79,succeeded,apple_pay,Mastercard,6917,SA,Dammam,0.17,9HRX40,1.74,30,1.27,0.74,0.53,54.52,SB20250502-005
T0000067,2025-05-09 21:54:44,M00020,C003264,5411,20.0,JOD,28.2,succeeded,card,Mastercard,9229,CA,Vancouver,0.17,1AV9AM,2.53,20,0.91,0.41,0.5,27.29,SB20250509-003
T0000068,2025-05-19 09:10:20,M00035,C002225,7999,68.05,GBP,89.15,succeeded,paypal,Visa,3177,TR,Izmir,0.21,UQFYME,1.83,15,1.78,1.14,0.64,87.37,SB20250519-003
T0000069,2025-05-02 06:52:36,M00016,C001246,7399,197.04,GBP,258.12,succeeded,card,mada,4143,DE,Hamburg,0.15,CPWZWE,2.43,35,6.62,3.17,3.45,251.5,SB20250502-004
T0000070,2025-05-24 16:25:07,M00085,C004565,5691,130.86,CAD,95.53,succeeded,bank_transfer,Mastercard,0820,NL,Rotterdam,0.09,1QZ08W,2.55,40,2.84,1.22,1.62,92.69,SB20250524-001
T0000071,2025-05-28 20:40:48,M00096,C000426,5732,178.85,USD,178.85,succeeded,card,Mastercard,0099,TR,Izmir,0.08,E0HC5U,2.53,20,4.72,2.22,2.5,174.13,SB20250528-002
T0000072,2025-05-25 11:30:02,M00065,C003867,5999,73.67,GBP,96.51,succeeded,apple_pay,Visa,3007,CA,Toronto,0.09,4MNFGA,2.87,40,3.17,1.23,1.94,93.34,SB20250525-005
T0000073,2025-05-17 00:35:21,M00100,C002955,5812,30.65,TRY,0.92,succeeded,cash_app,Amex,8389,JO,Irbid,0.2,BM4L2E,2.43,40,0.42,0.08,0.34,0.5,SB20250517-005
T0000074,2025-05-24 03:54:48,M00118,C007796,5999,38.82,CAD,28.34,refunded,card,Visa,6330,SA,Riyadh,0.18,XG0M6S,3.38,30,1.26,0.41,0.85,0.0,SB20250524-003
T0000075,2025-05-21 16:49:33,M00066,C002652,6012,645.8,SAR,171.78,succeeded,paypal,Mastercard,5796,TR,Ankara,0.06,H71J5B,2.65,20,4.75,2.13,2.62,167.03,SB20250521-002
T0000076,2025-05-27 04:05:46,M00002,C000499,5812,44.5,USD,44.5,succeeded,crypto_onramp,UnionPay,3407,GB,Manchester,0.23,TD92RU,2.92,25,1.55,0.6,0.95,42.95,SB20250527-001
T0000077,2025-05-26 05:20:27,M00092,C003187,5732,157.37,JOD,221.89,succeeded,apple_pay,Mastercard,6925,SA,Jeddah,0.22,W4KDWO,2.58,35,6.07,2.73,3.34,215.82,SB20250526-003
T0000078,2025-05-21 16:01:05,M00034,C006292,4812,212.81,SAR,56.61,succeeded,bank_transfer,Mastercard,2789,DE,Munich,0.08,3B8ZGQ,2.71,20,1.73,0.75,0.98,54.88,SB20250521-003
T0000079,2025-05-07 17:34:39,M00115,C002448,5691,59.61,USD,59.61,succeeded,apple_pay,UnionPay,9631,US,Seattle,0.1,3J9QCK,1.92,30,1.44,0.79,0.65,58.17,SB20250507-004
T0000080,2025-05-06 23:39:13,M00114,C006240,7999,23.93,USD,23.93,succeeded,card,Mastercard,0171,US,Seattle,0.13,OJ04Y7,2.65,35,0.98,0.36,0.62,22.95,SB20250506-001
T0000081,2025-05-04 14:46:48,M00085,C005387,5691,77.3,AED,21.03,succeeded,crypto_onramp,Mastercard,1180,CA,Vancouver,0.04,YYVCWV,2.55,40,0.94,0.32,0.62,20.09,SB20250504-005
T0000082,2025-05-07 10:03:32,M00078,C006744,7399,134.88,AED,36.69,succeeded,bank_transfer,UnionPay,7328,GB,London,0.27,77NQR4,2.58,30,1.25,0.51,0.74,35.44,SB20250507-002
T0000083,2025-05-13 04:19:14,M00024,C001247,6012,725.26,AED,197.27,succeeded,card,mada,4895,NL,Amsterdam,0.12,5UYBS1,2.63,20,5.39,2.44,2.95,191.88,SB20250513-003
T0000084,2025-05-15 22:56:59,M00110,C007723,7399,900.0,TRY,27.0,succeeded,paypal,Mastercard,2456,GB,London,0.1,WWW7IZ,2.83,40,1.16,0.39,0.77,25.84,SB20250515-001
T0000085,2025-05-16 12:43:01,M00094,C003511,5812,15.56,GBP,20.38,succeeded,paypal,Visa,8719,NL,Utrecht,0.0,XNFKG2,2.06,20,0.62,0.31,0.31,19.76,SB20250516-005
T0000086,2025-05-08 15:36:21,M00063,C005768,5999,87.66,EUR,95.55,succeeded,card,mada,7286,AE,Abu Dhabi,0.24,4SG1VU,2.91,40,3.18,1.22,1.96,92.37,SB20250508-005
T0000087,2025-05-06 17:15:29,M00054,C007833,5734,49.72,AED,13.52,refunded,card,Visa,8969,FR,Paris,0.1,OEM0F4,2.04,20,0.48,0.23,0.25,0.0,SB20250506-005
T0000088,2025-05-17 17:44:34,M00071,C002971,7999,27.95,EUR,30.47,succeeded,google_pay,Mastercard,8081,NL,Amsterdam,0.03,Q0YM69,2.45,25,1.0,0.44,0.56,29.47,SB20250517-002
T0000089,2025-05-28 16:49:00,M00112,C002593,5691,83.47,CAD,60.93,succeeded,card,Mastercard,2018,GB,Manchester,0.22,TSA2TF,2.33,25,1.67,0.8,0.87,59.26,SB20250528-002
T0000090,2025-05-02 10:25:47,M00067,C002971,5999,55.24,TRY,1.66,failed,card,Discover,9161,DE,Hamburg,0.18,H00UKH,3.08,20,0.25,0.09,0.16,0.0,SB20250502-004
T0000091,2025-05-23 14:27:20,M00021,C001477,5691,121.37,USD,121.37,succeeded,card,Mastercard,4565,CA,Vancouver,0.12,K4696S,2.64,30,3.5,1.53,1.97,117.87,SB20250523-003
T0000092,2025-05-08 13:49:27,M00096,C005290,5732,132.22,GBP,173.21,succeeded,cash_app,Amex,8521,JO,Amman,0.17,N54KPI,2.53,20,4.58,2.15,2.43,168.63,SB20250508-005
T0000093,2025-05-17 11:47:30,M00030,C000775,5812,13.51,JOD,19.05,succeeded,card,mada,7525,DE,Berlin,0.05,HOA4HS,2.57,10,0.59,0.3,0.29,18.46,SB20250517-003
T0000094,2025-05-22 01:25:03,M00021,C003170,5691,59.65,JOD,84.11,succeeded,google_pay,Visa,6819,US,Austin,0.02,T2L8GF,2.64,30,2.52,1.08,1.44,81.59,SB20250522-001
T0000095,2025-05-05 01:37:50,M00014,C001125,5732,72.62,CAD,53.01,succeeded,bank_transfer,Mastercard,1396,NL,Rotterdam,0.15,D1UAHL,2.12,25,1.37,0.71,0.66,51.64,SB20250505-002
T0000096,2025-05-24 16:30:54,M00054,C005113,5734,171.62,USD,171.62,refunded,card,Visa,4666,JO,Irbid,0.11,KE2E1A,2.04,20,3.7,2.13,1.57,0.0,SB20250524-002
T0000097,2025-05-27 11:18:37,M00058,C007191,5999,27.62,CAD,20.16,succeeded,card,Visa,8420,FR,Paris,0.16,HMKOUC,2.54,20,0.71,0.31,0.4,19.45,SB20250527-002
T0000098,2025-05-27 22:04:15,M00005,C006555,6012,220.0,GBP,288.2,succeeded,card,Visa,7518,SA,Jeddah,0.06,6WDSPW,2.37,30,7.13,3.53,3.6,281.07,SB20250527-004
T0000099,2025-05-12 01:09:47,M00027,C007569,7399,120.0,GBP,157.2,succeeded,apple_pay,UnionPay,5221,GB,Bristol,0.17,2RKWFX,2.89,25,4.79,1.96,2.83,152.41,SB20250512-005
T0000100,2025-05-13 13:15:00,M00004,C004091,7999,16.63,GBP,21.79,pending,paypal,Visa,5821,FR,Marseille,0.09,QWAGMG,2.16,25,0.72,0.33,0.39,0.0,SB20250513-003
T0000101,2025-05-19 17:58:25,M00019,C005014,5812,36.9,AED,10.04,succeeded,card,Visa,7128,US,Miami,0.14,9RNGHX,2.97,20,0.5,0.19,0.31,9.54,SB20250519-001
T0000102,2025-05-20 23:46:09,M00045,C007872,6012,457.11,USD,457.11,refunded,card,Mastercard,8316,SA,Riyadh,0.15,L5RZM6,2.49,20,11.58,5.56,6.02,0.0,SB20250520-001
T0000103,2025-05-09 18:43:29,M00106,C007885,5732,61.87,EUR,67.44,succeeded,bank_transfer,Mastercard,8008,DE,Hamburg,0.04,Z6AD56,2.52,35,2.05,0.88,1.17,65.39,SB20250509-002
T0000104,2025-05-09 16:01:31,M00010,C004386,7999,41.44,AED,11.27,succeeded,card,mada,0528,TR,Ankara,0.06,OMVYKW,2.39,40,0.67,0.21,0.46,10.6,SB20250509-003
T0000105,2025-05-21 06:54:55,M00057,C000139,5999,40.75,SAR,10.84,refunded,card,Mastercard,3863,FR,Paris,0.09,TPN8NO,2.85,10,0.41,0.2,0.21,0.0,SB20250521-004
T0000106,2025-05-18 18:44:05,M00014,C001367,5732,77.7,EUR,84.69,succeeded,apple_pay,Amex,3625,CA,Montreal,0.19,LZBGKV,2.12,25,2.05,1.09,0.96,82.64,SB20250518-004
T0000107,2025-05-05 13:27:36,M00115,C003887,5691,36.03,TRY,1.08,succeeded,crypto_onramp,Mastercard,0490,SA,Jeddah,0.28,6N2H9O,1.92,30,0.32,0.08,0.24,0.76,SB20250505-005
T0000108,2025-05-10 14:45:35,M00042,C003021,7399,403.91,SAR,107.44,refunded,crypto_onramp,Amex,0625,JO,Zarqa,0.24,7YMM2U,2.27,20,2.64,1.36,1.28,0.0,SB20250510-005
T0000109,2025-05-22 10:46:31,M00053,C005749,6012,540.53,EUR,589.18,succeeded,google_pay,Visa,8251,DE,Berlin,0.23,4839R2,2.36,40,14.3,7.14,7.16,574.88,SB20250522-002
T0000110,2025-05-27 09:54:20,M00108,C002642,5691,178.74,SAR,47.54,succeeded,card,Mastercard,1562,CA,Toronto,0.05,UYIDK1,2.44,40,1.56,0.64,0.92,45.98,SB20250527-005
T0000111,2025-05-25 10:07:13,M00045,C006612,6012,477.35,USD,477.35,succeeded,bank_transfer,UnionPay,6060,JO,Amman,0.18,5JE60K,2.49,20,12.09,5.8,6.29,465.26,SB20250525-005
T0000112,2025-05-23 06:26:22,M00014,C005523,5732,102.69,GBP,134.52,succeeded,paypal,Mastercard,3789,FR,Paris,0.28,4QS2N0,2.12,25,3.1,1.68,1.42,131.42,SB20250523-003
T0000113,2025-05-24 06:42:33,M00080,C006347,5411,104.24,GBP,136.55,succeeded,card,Mastercard,3494,DE,Berlin,0.2,YN3OX0,2.43,35,3.67,1.71,1.96,132.88,SB20250524-002
T0000114,2025-05-21 17:32:53,M00029,C001811,7399,900.0,TRY,27.0,refunded,apple_pay,Mastercard,4732,NL,Amsterdam,0.24,F8VBD5,2.36,20,0.84,0.39,0.45,0.0,SB20250521-001
T0000115,2025-05-14 20:45:36,M00069,C007376,5732,142.82,EUR,155.67,succeeded,card,Mastercard,2775,FR,Marseille,0.08,T79LYT,2.7,20,4.4,1.94,2.46,151.27,SB20250514-001
T0000116,2025-05-15 14:37:22,M00008,C002276,7999,53.54,GBP,70.14,succeeded,card,Visa,3996,TR,Istanbul,0.15,4FARGA,2.45,35,2.07,0.91,1.16,68.07,SB20250515-003
T0000117,2025-05-18 21:42:02,M00038,C003552,5734,58.34,USD,58.34,succeeded,crypto_onramp,Mastercard,4490,US,Miami,0.15,BLDQWK,2.41,25,1.66,0.77,0.89,56.68,SB20250518-001
T0000118,2025-05-11 01:23:10,M00081,C006392,5732,66.66,USD,66.66,succeeded,card,Mastercard,9525,DE,Hamburg,0.31,ZS6967,3.01,35,2.36,0.87,1.49,64.3,SB20250511-003
T0000119,2025-05-10 03:33:09,M00057,C003262,5999,79.34,EUR,86.48,succeeded,card,Visa,3301,AE,Dubai,0.27,GVGYTJ,2.85,10,2.56,1.11,1.45,83.92,SB20250510-001
T0000120,2025-05-10 17:49:09,M00027,C007391,7399,557.85,TRY,16.74,succeeded,card,Visa,8185,CA,Vancouver,0.0,MRZ30I,2.89,25,0.73,0.27,0.46,16.01,SB20250510-003
T0000121,2025-05-28 23:25:55,M00009,C005638,6012,220.0,EUR,239.8,succeeded,card,Amex,8816,NL,Utrecht,0.19,WVETAL,2.48,30,6.25,2.95,3.3,233.55,SB20250528-002
T0000122,2025-05-08 07:10:29,M00030,C006510,5812,73.28,JOD,103.32,succeeded,card,Mastercard,5553,NL,Amsterdam,0.1,NXRPML,2.57,10,2.76,1.31,1.45,100.56,SB20250508-004
T0000123,2025-05-23 22:20:48,M00054,C004347,5734,70.84,USD,70.84,succeeded,card,UnionPay,9983,JO,Irbid,0.17,0GCXGM,2.04,20,1.65,0.92,0.73,69.19,SB20250523-002
T0000124,2025-05-13 17:31:57,M00017,C006573,5999,45.02,JOD,63.48,succeeded,apple_pay,Visa,9015,NL,Rotterdam,0.27,5EQNSY,2.57,20,1.83,0.83,1.0,61.65,SB20250513-005
T0000125,2025-05-22 19:17:44,M00077,C003483,4812,63.46,JOD,89.48,succeeded,card,Amex,8255,DE,Berlin,0.06,Q9F9Y6,2.6,35,2.68,1.14,1.54,86.8,SB20250522-003
T0000126,2025-05-17 14:10:03,M00067,C003763,5999,59.71,GBP,78.22,succeeded,apple_pay,Mastercard,1565,GB,Manchester,0.25,RQWYFR,3.08,20,2.61,1.01,1.6,75.61,SB20250517-004
T0000127,2025-05-12 06:52:38,M00068,C004284,5812,27.5,CAD,20.07,succeeded,card,Amex,4892,DE,Hamburg,0.0,DB624P,2.25,40,0.85,0.31,0.54,19.22,SB20250512-001
T0000128,2025-05-17 10:07:33,M00082,C007491,5691,67.4,CAD,49.2,refunded,google_pay,Mastercard,2368,GB,Manchester,0.0,CFH0VN,1.75,20,1.06,0.66,0.4,0.0,SB20250517-003
T0000129,2025-05-09 15:06:08,M00018,C007503,4812,48.5,GBP,63.54,succeeded,apple_pay,Mastercard,8722,SA,Riyadh,0.0,03LKAZ,2.67,30,2.0,0.83,1.17,61.54,SB20250509-005
T0000130,2025-05-28 12:32:15,M00104,C002405,5734,97.7,JOD,137.76,succeeded,card,Visa,2071,DE,Berlin,0.07,P814FV,3.08,35,4.59,1.72,2.87,133.17,SB20250528-004
