payout_id,merchant_id,created_at,amount_usd,status,method,bank_account_last4,settlement_batches,payout_fee_usd
PM000023075243,M00002,2025-07-21,86.28,processing,wire,3325,"SB20250722-005,SB20250724-001",0.5
PM000023599054,M00002,2025-07-28,67.44,initiated,ach,6960,"SB20250728-003,SB20250802-001,SB20250803-004",0.5
PM000023486308,M00002,2025-08-04,279.0,initiated,ach,9917,"SB20250804-001,SB20250805-003,SB20250806-001,SB20250810-001,SB20250810-005",0.5
PM000024808611,M00002,2025-08-11,533.63,paid,wire,3782,"SB20250811-004,SB20250811-005,SB20250813-004,SB20250815-002,SB20250815-005,SB20250816-002,SB20250817-001,SB20250817-002",0.53
PM000025550247,M00002,2025-08-18,379.47,processing,sepa,7066,"SB20250818-003,SB20250819-004,SB20250820-001,SB20250820-002,SB20250822-003,SB20250822-005,SB20250823-005,SB20250824-003,SB20250824-004",0.5
PM000026131192,M00002,2025-08-25,134.14,paid,swift,3694,"SB20250825-005,SB20250826-004,SB20250828-001",0.5
PM000034470153,M00003,2025-04-28,520.4,processing,sepa,1009,"SB20250501-002,SB20250503-001,SB20250503-004,SB20250504-001",0.52
PM000037388054,M00003,2025-05-05,367.76,paid,sepa,4111,"SB20250508-002,SB20250508-004,SB20250510-003,SB20250511-001,SB20250511-005",0.5
PM000039334815,M00003,2025-05-12,368.57,paid,sepa,4085,"SB20250512-003,SB20250513-004,SB20250515-001,SB20250516-001,SB20250516-003",0.5
PM000036629012,M00003,2025-05-19,118.68,paid,ach,7444,"SB20250521-002,SB20250523-004,SB20250525-004",0.5
PM000034660468,M00003,2025-05-26,167.1,paid,ach,4273,"SB20250527-003,SB20250601-004",0.5
PM000038098883,M00003,2025-06-02,249.98,paid,wire,7973,"SB20250603-004,SB20250605-001",0.5
PM000032922551,M00003,2025-06-09,258.59,paid,swift,0294,"SB20250611-003,SB20250612-004,SB20250613-005,SB20250614-005",0.5
PM000033448069,M00003,2025-06-16,438.63,paid,swift,2412,"SB20250617-004,SB20250618-001,SB20250620-001,SB20250620-002,SB20250622-004",0.5
PM000035130569,M00003,2025-06-23,286.53,initiated,sepa,2425,SB20250628-003,0.5
PM000033984075,M00003,2025-06-30,297.62,processing,ach,2633,"SB20250701-002,SB20250705-003,SB20250706-005",0.5
PM000032817181,M00003,2025-07-07,713.21,paid,ach,7528,"SB20250708-002,SB20250710-003,SB20250710-004,SB20250713-002",0.71
PM000036447928,M00003,2025-07-14,707.62,paid,sepa,0112,"SB20250714-004,SB20250714-005,SB20250715-005,SB20250717-004,SB20250718-001,SB20250718-002,SB20250718-005,SB20250719-002,SB20250720-004",0.71
PM000030059139,M00003,2025-07-21,263.45,initiated,sepa,1654,"SB20250721-002,SB20250727-002,SB20250727-004",0.5
PM000037181820,M00003,2025-07-28,1063.26,paid,sepa,5954,"SB20250801-001,SB20250801-003,SB20250801-005,SB20250802-004,SB20250803-003",1.06
PM000039648074,M00003,2025-08-04,1632.15,paid,swift,6280,"SB20250804-001,SB20250805-001,SB20250806-002,SB20250806-003,SB20250807-002,SB20250810-002",1.63
PM000031608623,M00003,2025-08-11,1647.24,paid,sepa,5010,"SB20250811-005,SB20250813-004,SB20250814-001,SB20250815-003,SB20250816-001,SB20250816-002,SB20250816-003,SB20250816-004,SB20250816-005,SB20250817-003",1.65
PM000037584135,M00003,2025-08-18,708.46,processing,sepa,6489,"SB20250820-004,SB20250822-002,SB20250822-004",0.71
PM000039713958,M00003,2025-08-25,882.28,paid,ach,1003,"SB20250825-001,SB20250825-004,SB20250826-001,SB20250826-003,SB20250826-004,SB20250828-001",0.88
PM000048181852,M00004,2025-04-28,102.26,paid,sepa,0792,"SB20250501-003,SB20250502-002,SB20250503-003,SB20250504-003,SB20250504-005",0.5
PM000045263951,M00004,2025-05-05,171.52,paid,ach,0925,"SB20250507-001,SB20250508-001,SB20250511-003,SB20250511-004",0.5
PM000043317190,M00004,2025-05-12,160.58,initiated,ach,2332,"SB20250513-002,SB20250514-004,SB20250515-002,SB20250516-003,SB20250516-004,SB20250518-002",0.5
PM000046022993,M00004,2025-05-19,117.85,paid,ach,9036,"SB20250520-004,SB20250523-004,SB20250524-005",0.5
PM000042008463,M00004,2025-05-26,25.33,paid,wire,7759,SB20250528-004,0.5
PM000040750888,M00004,2025-06-02,74.4,paid,wire,3124,"SB20250605-002,SB20250605-004",0.5
PM000045574556,M00004,2025-06-09,274.76,paid,ach,3046,"SB20250609-002,SB20250613-003,SB20250615-001,SB20250615-005",0.5
PM000040796064,M00004,2025-06-16,416.97,paid,sepa,0769,"SB20250616-002,SB20250616-004,SB20250616-005,SB20250620-005,SB20250621-004,SB20250622-002,SB20250622-003,SB20250622-005",0.5
PM000041769042,M00004,2025-06-23,105.49,paid,wire,6885,"SB20250626-002,SB20250628-005",0.5
PM000042915536,M00004,2025-06-30,76.82,paid,ach,6052,"SB20250703-001,SB20250705-005",0.5
PM000045469186,M00004,2025-07-07,378.56,initiated,wire,8473,"SB20250707-002,SB20250708-001,SB20250708-004,SB20250709-001,SB20250710-005,SB20250711-001,SB20250711-005,SB20250712-001",0.5
PM000040451683,M00004,2025-07-14,130.29,paid,ach,0652,"SB20250714-003,SB20250716-004,SB20250718-004,SB20250718-005,SB20250719-004",0.5
PM000047407134,M00004,2025-07-21,283.0,paid,swift,3902,"SB20250722-004,SB20250724-002,SB20250724-004,SB20250726-002,SB20250727-002,SB20250727-004",0.5
PM000045470185,M00004,2025-07-28,190.59,initiated,ach,9977,"SB20250728-004,SB20250802-004",0.5
PM000046996069,M00004,2025-08-04,504.64,paid,ach,9206,"SB20250804-002,SB20250804-003,SB20250806-002,SB20250807-003,SB20250807-005,SB20250809-002,SB20250810-001,SB20250810-005",0.5
PM000044260628,M00004,2025-08-11,391.23,processing,wire,2359,"SB20250813-001,SB20250815-003",0.5
PM000044932130,M00004,2025-08-18,287.58,paid,ach,7129,"SB20250820-003,SB20250821-002,SB20250822-005,SB20250824-005",0.5
PM000042938047,M00004,2025-08-25,553.6,paid,sepa,8890,"SB20250825-004,SB20250826-001,SB20250826-002,SB20250827-003",0.55
PM000055323219,M00005,2025-04-28,148.51,paid,ach,5271,SB20250501-003,0.5
PM000058241120,M00005,2025-05-05,576.0,paid,wire,4343,"SB20250507-004,SB20250508-002,SB20250511-004",0.58
PM000050187881,M00005,2025-05-12,596.42,paid,wire,1823,SB20250516-005,0.6
PM000057482078,M00005,2025-05-19,2126.26,paid,sepa,9803,"SB20250520-004,SB20250521-005,SB20250523-002",2.13
PM000050656709,M00005,2025-05-26,922.93,paid,wire,6220,"SB20250527-004,SB20250528-002,SB20250601-004",0.92
PM000057245817,M00005,2025-06-02,1588.63,initiated,swift,3638,"SB20250602-005,SB20250603-002,SB20250607-002",1.59
PM000052069485,M00005,2025-06-09,1434.18,processing,swift,3754,"SB20250611-004,SB20250613-002,SB20250613-005",1.43
PM000054301135,M00005,2025-06-16,972.07,paid,ach,8408,"SB20250616-002,SB20250616-004,SB20250617-002,SB20250618-002",0.97
PM000050417288,M00005,2025-06-23,1692.01,paid,ach,6898,"SB20250625-002,SB20250625-004,SB20250628-001",1.69
PM000053131009,M00005,2025-06-30,2002.41,processing,sepa,3861,"SB20250702-005,SB20250704-004,SB20250705-002,SB20250706-005",2.0
PM000052404013,M00005,2025-07-07,1404.44,paid,ach,2921,"SB20250709-002,SB20250710-003,SB20250711-004",1.4
PM000055594862,M00005,2025-07-14,718.82,paid,ach,9081,"SB20250715-001,SB20250717-002,SB20250717-003,SB20250720-001",0.72
PM000050912205,M00005,2025-07-21,1557.82,paid,swift,3273,"SB20250722-002,SB20250722-005,SB20250725-004,SB20250726-001,SB20250727-003,SB20250727-005",1.56
PM000058034886,M00005,2025-07-28,3135.74,paid,wire,6673,"SB20250801-002,SB20250802-002,SB20250803-002",3.14
PM000050501140,M00005,2025-08-04,5758.85,paid,wire,5918,"SB20250804-002,SB20250804-005,SB20250805-001,SB20250805-003,SB20250805-004,SB20250806-002,SB20250807-004,SB20250807-005,SB20250808-001,SB20250808-003",5.76
PM000053612571,M00005,2025-08-11,5286.85,paid,swift,6637,"SB20250811-001,SB20250812-005,SB20250813-002,SB20250814-001,SB20250814-002,SB20250815-001,SB20250815-005,SB20250816-003,SB20250817-004",5.29
PM000058437201,M00005,2025-08-18,3282.33,paid,wire,2371,"SB20250819-001,SB20250821-002,SB20250821-005,SB20250822-002,SB20250823-002,SB20250823-004",3.28
PM000050567024,M00005,2025-08-25,5155.34,paid,swift,5043,"SB20250825-002,SB20250826-001,SB20250827-002,SB20250827-005,SB20250828-003",5.16
PM000066045088,M00006,2025-04-28,768.49,paid,wire,7557,SB20250502-002,0.77
PM000061037011,M00006,2025-05-05,1993.37,paid,sepa,4711,"SB20250505-003,SB20250505-005,SB20250508-001,SB20250508-004,SB20250508-005,SB20250509-005,SB20250511-003",1.99
PM000060909750,M00006,2025-05-12,2839.63,initiated,sepa,2052,"SB20250512-004,SB20250513-001,SB20250514-004,SB20250517-005,SB20250518-001",2.84
PM000063060772,M00006,2025-05-19,1206.32,processing,sepa,7964,"SB20250522-001,SB20250522-003,SB20250524-004",1.21
PM000066235403,M00006,2025-05-26,1408.03,paid,swift,8996,"SB20250526-003,SB20250528-001,SB20250601-001",1.41
PM000066523948,M00006,2025-06-02,1380.51,paid,wire,3637,"SB20250602-004,SB20250604-001,SB20250604-003",1.38
PM000066490791,M00006,2025-06-09,1361.5,paid,swift,8885,"SB20250609-001,SB20250609-005,SB20250614-002,SB20250614-003,SB20250615-001",1.36
PM000069879829,M00006,2025-06-16,325.24,paid,sepa,4862,SB20250622-005,0.5
PM000065995982,M00006,2025-06-23,2153.77,paid,ach,3165,"SB20250624-002,SB20250624-003,SB20250624-005,SB20250625-004,SB20250626-003",2.15
PM000067552315,M00006,2025-06-30,3053.92,paid,wire,6736,"SB20250701-001,SB20250702-004,SB20250703-003,SB20250705-004,SB20250705-005,SB20250706-003",3.05
PM000061242246,M00006,2025-07-07,3795.64,initiated,wire,6317,"SB20250707-001,SB20250708-001,SB20250709-001,SB20250711-001,SB20250711-002,SB20250711-004,SB20250712-002,SB20250712-004,SB20250713-003",3.8
PM000060016168,M00006,2025-07-14,759.2,paid,ach,1076,"SB20250715-002,SB20250715-004",0.76
PM000061634074,M00006,2025-07-21,1565.76,paid,sepa,4519,"SB20250721-001,SB20250721-003,SB20250721-004,SB20250722-001,SB20250723-001,SB20250724-003,SB20250727-001",1.57
PM000061243245,M00006,2025-07-28,2247.08,processing,swift,0279,"SB20250801-001,SB20250802-005",2.25
PM000061223009,M00006,2025-08-04,10779.25,initiated,sepa,2714,"SB20250804-002,SB20250806-001,SB20250807-005,SB20250808-001,SB20250808-003,SB20250808-005,SB20250809-002,SB20250809-004,SB20250810-002,SB20250810-003",10.78
PM000065176863,M00006,2025-08-11,5702.65,paid,swift,9087,"SB20250812-005,SB20250815-001,SB20250816-005,SB20250817-005",5.7
PM000065209058,M00006,2025-08-18,3625.65,paid,sepa,5696,"SB20250820-005,SB20250821-001,SB20250822-005,SB20250823-003,SB20250824-002",3.63
PM000066145718,M00006,2025-08-25,3905.57,initiated,wire,0663,"SB20250826-001,SB20250826-005,SB20250827-002,SB20250827-005",3.91
PM000079597736,M00007,2025-04-28,53.28,paid,sepa,1446,SB20250504-003,0.5
PM000071852491,M00007,2025-05-05,136.65,failed,swift,9884,"SB20250507-003,SB20250508-001",0.5
PM000074462398,M00007,2025-05-12,132.57,initiated,swift,4239,"SB20250515-004,SB20250516-004",0.5
PM000072245292,M00007,2025-05-19,98.65,paid,ach,1365,"SB20250519-003,SB20250524-003,SB20250524-004,SB20250525-005",0.5
PM000075419923,M00007,2025-05-26,88.62,paid,swift,9471,"SB20250526-004,SB20250528-001",0.5
PM000072971300,M00007,2025-06-02,47.37,paid,swift,6667,"SB20250602-005,SB20250608-005",0.5
PM000077306271,M00007,2025-06-09,279.95,initiated,swift,5420,"SB20250611-001,SB20250612-002,SB20250612-004",0.5
PM000079064349,M00007,2025-06-16,365.66,paid,ach,4628,"SB20250616-003,SB20250619-004,SB20250621-004,SB20250621-005",0.5
PM000079548630,M00007,2025-06-23,220.28,processing,swift,2927,"SB20250624-004,SB20250625-005,SB20250628-002,SB20250628-003",0.5
PM000073999667,M00007,2025-06-30,526.06,paid,wire,2850,"SB20250701-004,SB20250702-003,SB20250703-002,SB20250704-003,SB20250704-004,SB20250705-004",0.53
PM000077689598,M00007,2025-07-07,412.74,paid,sepa,6183,"SB20250708-002,SB20250709-005,SB20250711-001,SB20250711-002,SB20250712-005",0.5
PM000076463520,M00007,2025-07-14,282.56,paid,sepa,7847,"SB20250714-001,SB20250715-003,SB20250715-004,SB20250716-002,SB20250716-005,SB20250718-001,SB20250720-005",0.5
PM000075186722,M00007,2025-07-21,118.21,paid,wire,0056,"SB20250721-001,SB20250722-002,SB20250723-005,SB20250724-005",0.5
PM000077690597,M00007,2025-07-28,304.04,paid,swift,5512,"SB20250728-001,SB20250801-004,SB20250802-002,SB20250803-004",0.5
PM000074775657,M00007,2025-08-04,549.56,paid,sepa,4255,"SB20250806-002,SB20250806-003,SB20250808-003,SB20250808-004,SB20250810-003,SB20250810-005",0.55
PM000071624215,M00007,2025-08-11,1022.48,paid,wire,0098,"SB20250811-002,SB20250811-004,SB20250812-001,SB20250813-005,SB20250814-002,SB20250815-004,SB20250815-005",1.02
PM000078343590,M00007,2025-08-18,358.21,processing,wire,4658,"SB20250818-002,SB20250819-003,SB20250821-001,SB20250821-002,SB20250824-003",0.5
PM000079698366,M00007,2025-08-25,506.83,processing,sepa,4665,"SB20250825-001,SB20250825-003,SB20250827-003,SB20250828-004",0.51
PM000088344303,M00008,2025-04-28,45.11,paid,ach,1691,"SB20250502-004,SB20250503-005",0.5
PM000084125214,M00008,2025-05-05,135.81,paid,wire,7471,"SB20250507-005,SB20250510-002,SB20250510-004",0.5
PM000083479641,M00008,2025-05-12,91.07,paid,swift,3964,"SB20250512-005,SB20250515-003,SB20250518-003",0.5
PM000086185444,M00008,2025-05-19,70.3,paid,wire,1138,"SB20250521-002,SB20250523-005,SB20250524-004",0.5
PM000086540803,M00008,2025-05-26,80.05,paid,swift,5180,"SB20250526-003,SB20250527-004",0.5
PM000088638277,M00008,2025-06-02,160.85,initiated,swift,4272,"SB20250604-001,SB20250604-005,SB20250607-001",0.5
PM000083814609,M00008,2025-06-09,267.37,paid,swift,6097,"SB20250609-003,SB20250609-005,SB20250610-001,SB20250611-005,SB20250614-004,SB20250615-004",0.5
PM000089366387,M00008,2025-06-16,140.94,processing,sepa,1128,"SB20250616-001,SB20250619-001,SB20250621-003,SB20250622-004",0.5
PM000083250234,M00008,2025-06-23,98.34,paid,ach,7643,"SB20250624-005,SB20250627-003,SB20250627-005",0.5
PM000087246915,M00008,2025-06-30,39.91,paid,swift,1789,"SB20250705-002,SB20250705-003",0.5
PM000083919979,M00008,2025-07-07,225.53,paid,swift,3387,"SB20250708-004,SB20250712-002",0.5
PM000089710768,M00008,2025-07-14,191.15,paid,swift,0160,"SB20250715-002,SB20250716-004,SB20250717-002,SB20250718-004,SB20250719-002",0.5
PM000082755317,M00008,2025-07-21,127.64,initiated,swift,3069,"SB20250723-003,SB20250724-001,SB20250724-004,SB20250726-003",0.5
PM000083918980,M00008,2025-07-28,209.89,paid,swift,5238,"SB20250801-002,SB20250802-003,SB20250802-005",0.5
PM000081528409,M00008,2025-08-04,1347.95,paid,ach,2884,"SB20250804-001,SB20250805-001,SB20250805-003,SB20250805-004,SB20250807-002,SB20250808-003,SB20250808-005,SB20250809-003,SB20250809-005,SB20250810-001",1.35
PM000085128537,M00008,2025-08-11,1389.24,paid,swift,5569,"SB20250811-001,SB20250811-005,SB20250812-003,SB20250812-004,SB20250813-004,SB20250814-004,SB20250815-003,SB20250815-004,SB20250815-005,SB20250816-005",1.39
PM000085230321,M00008,2025-08-18,192.12,paid,ach,2533,"SB20250818-003,SB20250821-001,SB20250821-002,SB20250823-002,SB20250824-005",0.5
PM000086451118,M00008,2025-08-25,341.24,initiated,wire,7660,"SB20250826-001,SB20250827-003,SB20250828-003",0.5
PM000094037700,M00009,2025-04-28,1105.67,paid,wire,9642,"SB20250502-001,SB20250502-003,SB20250503-005,SB20250504-003",1.11
PM000092587473,M00009,2025-05-05,1930.07,paid,ach,9373,"SB20250506-003,SB20250509-001",1.93
PM000098902362,M00009,2025-05-12,445.71,processing,wire,2283,"SB20250512-001,SB20250512-005,SB20250513-003,SB20250513-004",0.5
PM000096685256,M00009,2025-05-19,1446.07,processing,sepa,3571,"SB20250519-004,SB20250523-002,SB20250525-002",1.45
PM000099859887,M00009,2025-05-26,755.24,paid,swift,9234,"SB20250528-002,SB20250601-003",0.76
PM000091468664,M00009,2025-06-02,2149.48,paid,ach,3629,"SB20250603-001,SB20250604-005,SB20250606-003,SB20250607-003",2.15
PM000097133693,M00009,2025-06-09,2468.83,paid,sepa,8968,"SB20250609-001,SB20250609-004,SB20250612-001,SB20250612-002,SB20250613-002,SB20250613-005",2.47
PM000096047303,M00009,2025-06-16,1505.99,processing,wire,6889,"SB20250616-002,SB20250617-001,SB20250620-004,SB20250620-005,SB20250622-004",1.51
PM000095563022,M00009,2025-06-23,1651.55,failed,sepa,8341,"SB20250623-005,SB20250626-002,SB20250626-003",1.65
PM000094416528,M00009,2025-06-30,1024.9,paid,wire,0385,"SB20250701-004,SB20250705-005",1.02
PM000093249634,M00009,2025-07-07,877.12,paid,wire,3640,"SB20250707-002,SB20250708-004,SB20250709-001,SB20250709-004,SB20250709-005",0.88
PM000096880381,M00009,2025-07-14,836.74,paid,swift,8080,"SB20250714-004,SB20250715-001,SB20250715-005,SB20250719-001",0.84
PM000099924930,M00009,2025-07-21,1112.16,paid,wire,6301,"SB20250722-004,SB20250726-003",1.11
PM000096749367,M00009,2025-07-28,6025.73,paid,swift,2762,"SB20250728-002,SB20250728-005,SB20250801-001,SB20250801-002,SB20250802-004,SB20250803-001",6.03
PM000099215621,M00009,2025-08-04,4297.23,paid,swift,9167,"SB20250807-003,SB20250809-003,SB20250809-005,SB20250810-004",4.3
PM000092041076,M00009,2025-08-11,6881.98,paid,swift,0514,"SB20250811-004,SB20250811-005,SB20250813-004,SB20250815-002,SB20250816-002,SB20250816-004,SB20250817-004",6.88
PM000092783554,M00009,2025-08-18,4013.12,paid,sepa,3578,"SB20250818-003,SB20250818-004,SB20250820-002",4.01
PM000095413286,M00009,2025-08-25,1607.75,processing,ach,8272,"SB20250825-003,SB20250825-005,SB20250826-003",1.61
PM000101274536,M00010,2025-04-28,155.92,processing,wire,8197,SB20250503-002,0.5
PM000104192437,M00010,2025-05-05,28.0,initiated,sepa,7810,"SB20250509-001,SB20250509-003,SB20250511-005",0.5
PM000106139198,M00010,2025-05-12,214.39,paid,wire,9220,"SB20250512-002,SB20250514-002,SB20250515-001,SB20250515-005",0.5
PM000103433395,M00010,2025-05-19,64.82,paid,wire,1898,"SB20250523-004,SB20250524-003,SB20250525-003",0.5
PM000108086765,M00010,2025-05-26,20.32,paid,sepa,2614,SB20250528-001,0.5
PM000101294500,M00010,2025-06-02,161.05,failed,swift,3810,"SB20250602-002,SB20250603-002,SB20250603-005,SB20250604-002,SB20250607-003,SB20250608-005",0.5
PM000106118168,M00010,2025-06-09,24.41,paid,swift,9704,"SB20250613-001,SB20250613-004",0.5
PM000100252452,M00010,2025-06-16,203.45,paid,ach,7436,"SB20250616-003,SB20250618-004,SB20250619-005,SB20250621-004,SB20250621-005",0.5
PM000108326186,M00010,2025-06-23,156.25,paid,swift,6808,"SB20250623-005,SB20250626-003,SB20250627-005",0.5
PM000107179692,M00010,2025-06-30,44.9,processing,sepa,4030,"SB20250701-001,SB20250701-003",0.5
PM000106012798,M00010,2025-07-07,51.74,initiated,wire,5353,"SB20250707-003,SB20250710-002",0.5
PM000109643545,M00010,2025-07-14,206.66,paid,swift,0934,"SB20250714-004,SB20250716-001,SB20250716-005,SB20250717-001,SB20250717-003,SB20250718-001",0.5
PM000106863522,M00010,2025-07-21,155.77,paid,swift,0987,"SB20250723-001,SB20250726-003,SB20250726-004,SB20250727-002,SB20250727-004",0.5
PM000103986203,M00010,2025-07-28,181.15,paid,ach,6560,"SB20250728-002,SB20250803-005",0.5
PM000106452457,M00010,2025-08-04,238.97,paid,wire,5019,"SB20250804-001,SB20250809-004,SB20250810-002",0.5
PM000104804240,M00010,2025-08-11,210.36,paid,swift,0278,"SB20250812-004,SB20250813-005,SB20250817-003",0.5
PM000104388518,M00010,2025-08-18,923.26,initiated,swift,5840,"SB20250818-002,SB20250818-004,SB20250819-003,SB20250820-003,SB20250821-001,SB20250821-002,SB20250822-001,SB20250822-005,SB20250823-005,SB20250824-005",0.92
PM000106518341,M00010,2025-08-25,343.74,paid,ach,5362,"SB20250825-002,SB20250825-003,SB20250826-003,SB20250828-005",0.5
PM000117468894,M00011,2025-04-28,62.38,paid,wire,4907,"SB20250501-004,SB20250502-003",0.5
PM000119613205,M00011,2025-05-05,60.76,paid,sepa,5787,"SB20250509-004,SB20250509-005",0.5
PM000112333556,M00011,2025-05-12,8.52,paid,swift,7686,"SB20250512-001,SB20250518-002",0.5
PM000110372247,M00011,2025-05-19,243.18,paid,swift,7425,"SB20250519-002,SB20250520-005,SB20250523-003,SB20250525-002",0.5
PM000117659209,M00011,2025-05-26,166.87,paid,wire,0059,"SB20250526-002,SB20250526-005,SB20250601-003",0.5
PM000115100142,M00011,2025-06-02,114.42,paid,ach,8275,"SB20250602-001,SB20250604-004,SB20250605-002,SB20250607-001",0.5
PM000119923810,M00011,2025-06-09,76.43,initiated,swift,9582,"SB20250609-002,SB20250610-005,SB20250614-001,SB20250615-003",0.5
PM000116446810,M00011,2025-06-16,291.71,processing,sepa,3828,"SB20250617-004,SB20250619-004,SB20250619-005,SB20250621-004,SB20250622-004",0.5
PM000117763700,M00011,2025-06-23,27.93,paid,swift,6160,"SB20250624-005,SB20250627-004",0.5
PM000118566282,M00011,2025-06-30,102.05,processing,ach,4233,"SB20250702-003,SB20250703-002,SB20250704-005,SB20250706-002",0.5
PM000115450312,M00011,2025-07-07,190.52,paid,swift,9176,"SB20250707-003,SB20250708-003,SB20250710-002,SB20250713-003",0.5
PM000119081059,M00011,2025-07-14,65.93,processing,swift,7443,SB20250718-003,0.5
PM000113057880,M00011,2025-07-21,241.57,paid,wire,4451,"SB20250722-003,SB20250722-005,SB20250723-002,SB20250723-003,SB20250724-002,SB20250726-005",0.5
PM000114548689,M00011,2025-07-28,251.83,paid,wire,3653,"SB20250801-001,SB20250801-003,SB20250802-003,SB20250803-002",0.5
PM000112646815,M00011,2025-08-04,687.95,initiated,sepa,6303,"SB20250804-003,SB20250804-005,SB20250805-003,SB20250806-003,SB20250806-005,SB20250807-002,SB20250807-004,SB20250808-002,SB20250809-001,SB20250809-005",0.69
PM000114241754,M00011,2025-08-11,573.84,initiated,wire,4370,"SB20250811-005,SB20250812-002,SB20250812-003,SB20250815-004,SB20250815-005,SB20250816-001,SB20250816-004,SB20250816-005",0.57
PM000110582876,M00011,2025-08-18,726.18,initiated,wire,7933,"SB20250818-004,SB20250819-004,SB20250820-003,SB20250821-001,SB20250824-001",0.73
PM000117287301,M00011,2025-08-25,340.66,paid,wire,8644,"SB20250825-005,SB20250826-001,SB20250827-005,SB20250828-004,SB20250828-005",0.5
PM000129641062,M00012,2025-04-28,58.12,paid,swift,4197,SB20250503-002,0.5
PM000122558963,M00012,2025-05-05,1339.07,paid,wire,7663,"SB20250507-004,SB20250508-003,SB20250509-003,SB20250510-003",1.34
